time_s,dt_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,distance_m,speed_m_s,true_anomaly_rad,specific_energy_J_kg,area_rate_m2_s,energy_drift_pct,angular_momentum_drift_pct,semi_major_axis_m_live,eccentricity_live,inclination_deg_live,raan_deg_live,arg_periapsis_deg_live,period_days_live
0.0,0.0,-26503021504.23221,144693286469.077,119321.60811027125,-29786.990569708192,-5478.661384459924,-0.009764916969847248,147100500672.46683,30286.639591832445,-0.04481234080824384,-443578630.46628463,2227589320021463.5,0.0,0.0,149597887155.76584,0.016710220000000244,5.000227970688829e-05,348.73936000000003,114.20783000000104,365.2508876143997
600.0,600.0,-26520893499.62152,144689998186.3339,119315.74710716371,-29786.32717103327,-5482.28105183033,-0.009771759862418548,147100487311.18112,30286.642252639303,-0.04468885624308904,-443578631.8288357,2227589316711200.2,-3.071723927884451e-07,-1.4860294131631518e-07,149597886696.24243,0.01671021701867736,5.000227970688829e-05,348.7366530434432,114.21054027801728,365.25088593147484
1200.0,600.0,-26538765096.83745,144686707731.81476,119309.88199843635,-29785.663325086738,-5485.9006378985205,-0.009778602369200496,147100473986.73996,30286.644905994184,-0.044565371688256514,-443578633.19110966,2227589313401614.0,-6.142823024951615e-07,-2.971754910342368e-07,149597886236.8125,0.01671021403785942,5.000227970688829e-05,348.7339470784132,114.21324956372132,365.25088424889236
1800.0,600.0,-26556636295.611626,144683415105.5684,119304.01278432066,-29784.999031878815,-5489.520142607398,-0.009785444490142578,147100460699.14346,30286.647551897055,-0.04444188714379696,-443578634.55310625,2227589310092704.8,-9.213296888084835e-07,-4.457176491537647e-07,149597885777.4761,0.01671021105754701,5.000227970688829e-05,348.7312421048546,114.21595785716859,365.25088256665236
2400.0,600.0,-26574507095.675705,144680120307.64362,119298.13946504817,-29784.334291419727,-5493.139565899867,-0.009792286225194293,147100447448.3919,30286.650190347857,-0.0443184026097633,-443578635.9148257,2227589306784473.5,-1.2283145920400767e-06,-5.942293707833209e-07,149597885318.2332,0.016710208077739385,5.0009568137756664e-05,348.72853812271165,114.21866515841502,365.25088088475485
3000.0,600.0,-26592377496.761333,144676823338.08932,119292.26204085042,-29783.669103719712,-5496.758907718834,-0.009799127574305148,147100434234.48544,30286.652821346557,-0.04419491808620565,-443578637.27626795,2227589303476918.8,-1.5352370121899414e-06,-7.427107232602726e-07,149597884859.08374,0.016710205098436844,5.000227970688829e-05,348.72583513192905,114.22137146751624,365.2508792031996
3600.0,600.0,-26610247498.60017,144673524196.95438,119286.380511959,-29783.003468789007,-5500.378168007205,-0.00980596853742466,147100421057.42426,30286.65544489312,-0.04407143357317864,-443578638.637433,2227589300170041.8,-1.8420969358208553e-06,-8.911616504701471e-07,149597884400.0278,0.016710202119639705,5.0009568137756664e-05,348.7231331324508,114.22407678452835,365.25087752198687
4200.0,600.0,-26628117100.923878,144670222884.28772,119280.4948786055,-29782.337386637864,-5503.99734670789,-0.009812809114502358,147100407917.20856,30286.658060987498,-0.04394794907072725,-443578639.9983209,2227589296863841.8,-2.14889437637004e-06,-1.0395821860816279e-06,149597883941.06534,0.01671019914134772,5.000227970688829e-05,348.7204321242213,114.22678110950692,365.25087584111634
4800.0,600.0,-26645986303.464134,144666919400.13834,119274.60514102159,-29781.67085727654,-5507.616443763797,-0.009819649305487779,147100394813.83856,30286.66066962965,-0.04382446457891071,-443578641.3589313,2227589293558319.5,-2.455629266651387e-06,-1.1879722964260315e-06,149597883482.19644,0.01671019616356133,5.0009568137756664e-05,348.7177321071846,114.22948444250837,365.2508741605886
5400.0,600.0,-26663855105.95261,144663613744.5552,119268.71129943892,-29781.003880715296,-5511.235459117839,-0.009826489110330471,147100381747.31448,30286.663270819532,-0.04370098009778022,-443578642.71926445,2227589290253474.8,-2.7623016469765613e-06,-1.3363319927262524e-06,149597883023.42105,0.01671019318628018,5.0009568137756664e-05,348.71503308128473,114.23218678358887,365.25087248040325
